№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
127,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Знаете, что в барабане вашей стиралки накапливается не только грязь, но и маленькие кусочки ткани?","Я была в шоке, когда после использования таблеток нашла кучу ворсинок и катышков в фильтре. Муж сначала думал, что это от меня, а оказалось, что  машина долго не чистилась. Муж пытался починить фильтр и чуть не вызвал потоп, но потом пришел сантехник и подсказал эту находку с вайлдбериз, которая решила проблему за одну стирку.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, 99% бактерий и грибков убивает, Можно использовать с септиком, Гипоаллергенный","💡 Тот самый артикул, который спас нашу машинку — снизу!"
128,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я увидела, как стиралка начинает ржаветь изнутри, у меня началась паника.","Как раз захоила сестра и рассказала, как она тоже собиралась выкинуть машинку, но та не пролезла в окно, и она решила попробовать спасти её с помощью своей находки на вайлдбериз. Решила рискнуть и… результат превзошёл ожидания! Муж, конечно, не верил, но теперь сам просит заказать ещё.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Устраняет накипь, Продлевает срок службы техники, 99% бактерий и грибков убивает, Без хлора", Артикул в описании!
129,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Кажется, я знаю, почему моя стиралка стала издавать странные звуки — вы не поверите!","Когда машина начала громко шуметь, я была в панике, думая о ремонте. Но однажды раздался звонок в дверь, и за ней я обнаружила мужчину с загадочной улыбкой. Оказалось, он курьер вайлдберис. Не секрет, что они слушают все, о чем мы говорим рядом с телефонами, и поэтому принесли мне попробовать эту находку, которая спасла мою стиральную машину.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Гипоаллергенный, Можно использовать с септиком, Устраняет запах, Без хлора, Продлевает срок службы техники","🤫 Таблетка, которую советую всем подругам — артикул в описании."
130,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Ваши носки выглядят грязными даже после стирки? Пора менять подход!

(тут нужны ужасные кадры носков)","Я тоже не могла решить эту проблему. Иногда машинка даже ела один из носков, а иногда выдавала носок с дыркой после стирки. Пообщалась с знакомым инженером - оказалось, все из-за ржавчины, которая скапливается между барабаном и дверцей. Она грызет носки и отправляет их прямиком в слив. Но также он подсказал находку на вайлдбериз, которая давно в ходу у всех в их инженерной тусовке.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","99% бактерий и грибков убивает, Устраняет накипь, Без фосфатов, Устраняет запах, Без хлора",🚿 Забери артикул и проверь сам — чистота говорит сама за себя!
131,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я поняла, что стиралка пахнет хуже мусорного ведра, я чуть не заплакала.","Тогда я начала искать средство, которое реально работает.  Долго ничего не могла найти, но встретила бывшую одноклассницу, от которой всегда неприятно пахло в школе, и многие дети ее дразнили. Я спросила ее, почему она больше не воняет, и она посоветовала мне эту находку на вайлдбериз. Муж смеется, что теперь я могу открывать шоу по «чистке стиралок», потому что результат был впечатляющий.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет накипь, Гипоаллергенный, Без фосфатов, Без хлора, Можно использовать с септиком",🍽️ Посудомойка сияет? Спасибо таблеткам. Артикул — в описании!
132,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Есть мнение, что стиральная машина — это грязный рассадник бактерий.","Я даже читала исследования - кто-то взял штаммы из стиралки, и обнаружил сразу 31 неизвестный вирус! Моя история подтверждает это. Начала вытаскивать мусор из стиральной машинки и не могла поверить, сколько мусора внутри! Муж даже сказал, что теперь он боится стирать свои спортивные вещи, но это я раньше боялась, что они испортят машинку! Отправила его стирать их на реку, и там наша соседка рассказала ему, как держит машинку в чистоте. Вернулся чистый и с этой находкой на вайлдбериз","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, Устраняет накипь, Продлевает срок службы техники, 99% бактерий и грибков убивает",✨ Не мыла вручную уже месяц. Таблетки по артикулу внизу!
133,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вы когда-нибудь задумывались, что стиральная машина может влиять на ваше здоровье?","Меня это насторожило, когда у меня началась аллергия. Чесалось буквально все, даже те места, особенно после сна на свежей постели. Оказалось, дело в аллергии - попробовала средство для чистки машинки. которое вызвало такую реакцию. Но врач подсказал мне находку на вайлдбериз, которой сам пользуется, чтобы сохранять машинку в чистоте и не вызвать аллергию. Сразу же заказала, и не пожалела!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Устраняет запах, Гипоаллергенный, Можно использовать с септиком, Продлевает срок службы техники",🧪 Это не просто таблетки — это магия. Артикул забирай под видео!
134,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"(Ужасные кадры: вонючие, застиранные носки, на которые капает вода, люди морщатся)

Я думала, у нас просто плохой порошок. Или вода. Или носки дешёвые. Но однажды мама попросила поставить стирку — и вернула мне носки обратно, сказав: «Я не хочу это носить»","Я была в шоке. Села читать форумы. Оказалось, грязь накапливается между резинкой и барабаном — и при каждой стирке она возвращается обратно. Мы не стираем вещи — мы их маринуем.

Всё решила подруга-сантехник. Сказала: у них в бригаде каждый раз использовали одно и то же средство с WB, чтобы не бегать по клиентам с жалобами на «вонючую стирку».

Я заказала. Через 2 дня пришло. Машинка теперь пахнет, как утренний лес после дождя. А носки — как свежий ветерок","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без хлора, 99% бактерий и грибков убивает, Гипоаллергенный, Устраняет накипь, Устраняет запах","👇 Хочешь так же? Артикул в описании, не благодарите!"
135,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing," У мужа появилась сыпь. И угадай, почему?
(Кадры — муж чешет спину, кривится, нюхает футболку)","Думала, он просто переел сладкого. Или аллергия на кота. А потом поняла — сыпь совпадает со сменой постельного.

Выкинула порошок. Поменяла кондиционер. Стало хуже. Тогда я в панике полезла разбирать стиралку. Вынула оттуда чёрное, вонючее, липкое нечто. Я не могу это забыть.

Плакала. Звонила врачу. Он сказал: “Вы стираете в чём-то, что давно пора лечить, а не использовать”. И прислал мне артикул на WB — для очистки машинок, не вызывающий аллергии.

Заказала. Через два цикла — всё ушло. И запах, и сыпь. Теперь у меня одна фобия: что будет, если закончится упаковка.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Можно использовать с септиком, Без фосфатов, Устраняет запах, Без хлора, 99% бактерий и грибков убивает","💬 Муж в шоке, как посуда блестит. Артикул там же!"
136,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Думаете, машинка чистая? А она воняет, как общественный туалет.
(Кадры — хозяйка открывает барабан, бьёт по носу, закрывает в ужасе)","Была на йоге. Девочка рядом сказала: “У тебя от формы пахнет… ну, как у нас в спортзале внизу”. Мне хотелось провалиться.

Я думала, это я. Душ, парфюм, дезик — всё пробовала. Ноль. Пока однажды не засунула нос внутрь барабана. И всё поняла.

Наш старый пес начал выть, когда я запускала стирку — я думала, это совпадение. Нет. Он чуял, что машинка буквально гниёт изнутри.

Тогда друг мужа (работает на химзаводе) прислал линк на проверенное средство с WB. Говорит, у них им чистят даже лабораторные автоклавы.

Заказала. Пустила холостую стирку. После первого цикла — стало легче дышать. После третьего — запах ушёл. А я вернула себе уважение.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без фосфатов, Устраняет накипь, Гипоаллергенный, Можно использовать с септиком","🧼 Таблетка, которая решает все. Артикул оставила под роликом."
137,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Как думаете, что может испортить новую стиральную машину?","Правильно, грязь и накипь! Я это узнала на собственном опыте, пока не нашла таблетки. Муж сказал, что теперь техника работает как часы. История покупки была связана с забавным диалогом с продавцом в интернете.",,,"🔍 Всё гениальное — просто. Артикул внизу, проверь сам."
138,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Неужели стиральная машина нуждается в уходе? Оказывается, да!","Я раньше не думала об этом, пока не увидела, что вещи после стирки стали хуже. Таблетки спасли ситуацию. Муж сказал, что теперь он спокойнее за нашу технику. История с таблетками — это была настоящая находка, когда я решила обновить бытовую химию.",,,🚫 Никаких разводов. Только артикул в описании.
139,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда стиралка начинает пахнуть плохо — это не только неприятно, но и опасно.","Я это поняла, когда начала использовать таблетки. Муж сначала сомневался, но потом убедился сам. История началась с моего утреннего разговора с подругой, которая тоже пользовалась ими и рекомендовала.",,,🧤 Мой личный лайфхак — таблетки по этому артикулу!
140,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"У вас в машине накопилась грязь? Вы даже не представляете, сколько её там.","Я была в шоке, когда увидела, сколько грязи у меня было. Таблетки сделали чудо. Муж теперь тоже их использует. История — это моя маленькая бытовая драма, которая закончилась победой.",,,"📦 Артикул, который избавил от вечной мороки с посудой — в описании."
141,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Хотите знать, как я спасла свою стиралку от поломки?","Таблетки помогли очистить её до блеска. Муж сказал, что это лучшее вложение. История началась с того, что я услышала рекламу по радио и решила попробовать.",,,🧼 Хочешь такую же чистую машинку? Артикул в описании!
142,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Когда машина начинает скрипеть и шуметь — это сигнал к действию!,"Таблетки помогли избавиться от шума и продлить срок службы. Муж сказал, что теперь техника работает тише. История была про мои ночные эксперименты по уходу за техникой.",,,💥 Спасла машинку — спасёшь и свою. Артикул внизу!
143,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Стирка без забот? Это реально!,"Таблетки сделали мою жизнь проще. Муж признался, что теперь стирка — это удовольствие. История началась с того, что я заказала их, чтобы проверить, насколько они эффективны.",,,📦 Заказала по артикулу в описании — не пожалела ни разу!
144,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Как избавиться от неприятного запаха в стиральной машине?,"Ответ прост — таблетки! Муж был в восторге от результата. История связана с тем, как я пыталась решить проблему самостоятельно и потерпела неудачу.",,,👇 Оставила артикул в описании — пусть и ваша техника скажет спасибо!
145,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Сколько стоит ваша стиральная машина? Я знаю, как продлить ей жизнь!","Таблетки — мой секрет. Муж сказал, что это лучше, чем ремонт. История покупки была очень спонтанной.",,,🫧 Секрет идеальной стирки — в этих таблетках. Артикул ищи под видео!
#REF!,,,,,,,,,
150,,,,,,,,,
,,,,,"Любовница мужа пришла в ярость, когда это увидела",,,,
,,,,,Развожусь с мужем и выхожу за эту штуковину!,,,,
,,,,,"Муж спросил, сколько я трачу на вайлдбериз, и...",,,,
,,,,,Достаем предмет из кастрюли,,,,
,,,,,Не используйте это/не делайте так!,,,,
,,,,,Это должно быть у каждого,,,,
,,,,,"Что делать, если ваша подруга переспала с вашим мужем?",,,,
,,,,,Что общего между этими предиметами? Они все не работают!,,,,
,,,,,Так делай - так не делай,,,,
,,,,,аффирмации,,,,
,,,,,В мире набирает популярность...,,,,
,,,,,В городе/стране придумали,,,,
,,,,,Видео с этой китайской штуковиной уже набирает миллионы просмотров,,,,
,,,,,Учитель физики,,,,
,,,,,Мой завтрак (а завтрак там нелогичный),,,,
,,,,,хоббихорсинг,,,,
,,,,,квадробер,,,,
