№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
73,Татьяна,Сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Кто жживет только работой - тот пустышка. Как много я слышала это в городе!,"И тогда Я уехала в деревню после офисов, теперь работаю удалённо. Бывшие коллеги теперь говорят, что я «просто домохозяйка». И я решила вообще не загоняться по поводу этих ярлыков, мне важен результат: спокойный сон и свежий воздух. Рой комаров через открытую дверь этому иногда решает, и после города я не знала, что с этим сделать. Но как только познакомилась с соседями, они подсказали мне находку на Вайлдбериз, и я заказала. Делюсь!","Далее проводим распаковку продукта, показываем ключевые триггеры","Подходит для любых дверей
Не мешает дневному свету
Защищает даже ночью
Удобна в поездках и на пикнике
Не требует ухода",Артикул оставила для пвас в описании!
74,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Фил лает на каждый самокат, проезжающий по улице. Хочу оставить дверь приоткрытой, чтобы войти свежему воздуху, но одновременно впускаю рой комаров из подъезда. Ночные укусы мешают спать — я просыпаюсь вся в пятнах, Ешка мяукает от стрекота насекомых, а мой парень ворчит, что утром я усталая и раздражённая. Тогда соседка подсказала мне находку на Вайлдбериз, и я сразу же заказала её. Делюсь с вами!","Далее проводим распаковку продукта, показываем ключевые триггеры","Эффективная защита от насекомых

Лёгкий монтаж

Отличная вентиляция

Спокойный сон и отдых

Долговечность
",Артикул в описании — устанавливайте и наслаждайтесь свежим вечером без укусов.
75,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Мой Фил прекрасно ладит с другими псами во дворе, но когда на улице бегают чужие собаки без поводков, я стараюсь держать дверь приоткрытой лишь чуть-чуть. Мало ли, выбежит! Но даже так через щель залетают комары. Зуд у Фила тоже бывает — он чешется после укусов, Ешка охотится на мошек, и вся семья страдает от ночных пробуждений. Подруга из соседнего подъезда подсказала мне находку на Вайлдбериз, и я заказала сразу. Делюсь!","Далее проводим распаковку продукта, показываем ключевые триггеры","Универсальность

Комфорт без укусов

Эстетичный дизайн

Лёгкий монтаж

Подходит для любых условий
",Забирайте артикул в описании — пусть комары останутся снаружи.
76,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Летом бабушки во дворе садятся на лавочку и обсуждают всё на свете. Я люблю послушать их истории, и иногда даже прячусь с Филом за углом, в подъезде, чтобы узнать, что они обсуждают. А обсуждают они о-о-ой - что. Но пока я стою и подслушиваю, меня страшно кусают комары! Просыпаюсь ночью, расчесываю укусы, Фил нервно рычит при каждом шорохе, Ешка прячется. Пару дней назад знакомая рассказала о находке на Вайлдбериз, и я сразу же заказала её и поставила на дверь подъезда. Делюсь с вами!","Далее проводим распаковку продукта, показываем ключевые триггеры","Улучшение качества жизни

Надёжная защита от комаров

Лёгкость установки

Можно использовать в путешествиях

Эстетичный внешний вид
",Артикул в описании — дышите свежо и без раздражения.
77,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"У соседей дети - квадроберы, и родители этому рады. Ведь пока дети играют в животных, их можно водить на поводке, не опасаясь, что они убегут на дорогу. Фил даже принимает их за своих. А если мы дома, любит наблюдать за ними в окно. Но через открытое окно сразу залетают комары.Я чешусь по утрам, и это портит настроение. Да и Ешка комаров не очень жалует - гоняет их ночами по дому. И если с комарами из окна разобраться легко, то с дверью не так-то просто - ведь в подъезде их тоже очень много. Я решила как-то поправить эту ситуаци, и обнаружила эту находку на Вайлдбериз, и я заказала её сразу. Делюсь!","Далее проводим распаковку продукта, показываем ключевые триггеры","Подходит для любых условий

Долговечность

Отличная вентиляция

Лёгкий монтаж

Уютная атмосфера в доме",Артикул в описании — устанавливайте и забудьте про зуд.
78,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Как относитесь к детям с новенькими айфонами? Я - положительно!,"Часто вижу, как подростки и даже иногда взрослые часами ходят, уткнувшись в телефон, у нас по подъезду - наверное, что-то читают. Возможно, что-то про ремонт, потому что потом внимательно присматриваются к косякам и трубам. Но так как они постоянно открывают подъезжную дверь, в подъезде завелся рой комаров, и теперь они постоянно летят ко мне в квартиру. Ночью я просыпаюсь от зуда, утром еле встаю. Поговорила с подростками в подъезде - они подсказали мне находку на Вайлдбериз, и я сразу же заказала её. Делюсь!","Далее проводим распаковку продукта, показываем ключевые триггеры","Спокойный сон без укусов

Лёгкая установка

Универсальный размер

Можно брать с собой на дачу

Защита от любых насекомых",Артикул в описании — дышите свободно и без укусов.
79,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,"Качественные материалы

Свежий воздух без комаров

Не портит интерьер

Идеальна для дачи и дома

Установка без инструментов",Артикул в описании — защити себя и ребёнка от насекомых.
80,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,"Эффективная защита

Простая установка

Удобство в быту

Использование в разных условиях

Совместимость с любым интерьером",Артикул в описании — пусть комфорт будет без лишних споров.
81,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,"Свежий воздух без комаров

Безопасность и уют

Лёгкость в уходе

Быстрая установка

Подходит для семьи","Артикул в описании — дышите свободно, без ночных атак."
82,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,"Лёгкий монтаж

Удобство в поездках

Дизайн, который не бросается в глаза

Комфорт без зуда

Подходит под все окна",Артикул в описании — забудьте о зуде и наслаждайтесь летом.
83,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул — в описании. Защити свой сон и покой.
84,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул в описании — заботьтесь о семье и себе без укусов.
85,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Забирайте артикул в описании — проветривайте без жужжания.
86,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул в описании — дышите свежо и без укусов.
87,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул — в описании. Дайте себе право на комфорт и спокойный сон.
88,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Забирайте артикул в описании — работайте и отдыхайте без жужжания.
89,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул в описании — свобода и свежесть без укусов.
90,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул — в описании. Пусть отдых будет без укусов.
91,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Забирайте артикул в описании — проветривайте дом и сердце без зуда.
92,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул — в описании. Живите по-настоящему комфортно.
93,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,Артикул — в описании. Пусть молодёжь дышит свежестью без укусов.
94,Валерия,Сетка оконная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,"Артикул в описании — дышите глубоко, без комаров."
